state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked
PA,479,1,1,1,1,A,4,4964,,,2,5443,3/22 12:00,3/22 16:14,2020-03-22T16:00:00Z,2020-03-22T20:14:00Z
RI,83,1,1,1,0,B,3,932,216,,,1231,3/22 15:25,3/22 15:45,2020-03-22T19:25:00Z,2020-03-22T19:45:00Z
SC,195,1,1,1,1,A,4,1466,,,3,1661,3/22 15:40,3/22 16:10,2020-03-22T19:40:00Z,2020-03-22T20:10:00Z
SD,21,1,1,1,1,A,4,740,277,,1,1038,3/22 12:30,3/22 16:11,2020-03-22T16:30:00Z,2020-03-22T20:11:00Z
TN,505,1,1,1,0,B,3,3272,,,,3777,3/22 15:00,3/22 15:41,2020-03-22T19:00:00Z,2020-03-22T19:41:00Z
TX,334,1,1,1,1,A,4,8422,,,5,8756,3/21 21:00,3/22 15:23,2020-03-22T01:00:00Z,2020-03-22T19:23:00Z
UT,181,1,1,1,1,A,4,3508,,,1,3689,3/22 15:00,3/22 15:40,2020-03-22T19:00:00Z,2020-03-22T19:40:00Z
VA,219,1,1,1,1,A,4,3118,,32,3,3337,3/21 17:00,3/22 16:51,2020-03-21T21:00:00Z,2020-03-22T20:51:00Z
VT,52,1,1,1,1,A,4,1106,,,2,1158,3/22 14:00,3/22 15:19,2020-03-22T18:00:00Z,2020-03-22T19:19:00Z
WA,1793,1,1,1,1,A,4,25328,,,94,27121,3/21 18:00,3/22 15:21,2020-03-21T22:00:00Z,2020-03-22T19:21:00Z
WI,385,1,1,1,1,A,4,6230,,,4,6615,3/22 04:00,3/22 15:34,2020-03-22T08:00:00Z,2020-03-22T19:34:00Z
WV,12,1,1,1,0,B,3,385,1,1,0,398,3/21 00:00,3/22 15:39,2020-03-21T04:00:00Z,2020-03-22T19:39:00Z
WY,24,1,1,1,1,A,4,438,,,,462,3/21 23:00,3/22 15:15,2020-03-22T03:00:00Z,2020-03-22T19:15:00Z
PR,23,1,1,1,1,A,4,183,69,,,275,3/22 07:00,3/22 16:13,2020-03-22T11:00:00Z,2020-03-22T20:13:00Z
AS,,,,,,,,,,,0,0,3/19 00:00,3/22 16:00,2020-03-19T04:00:00Z,2020-03-22T20:00:00Z
GU,27,,,,,,,126,,,1,153,3/22 07:00,3/22 16:28,2020-03-22T11:00:00Z,2020-03-22T20:28:00Z
MP,0,,,,,,,,,,0,0,3/22 01:30,3/22 16:46,2020-03-22T05:30:00Z,2020-03-22T20:46:00Z
VI,6,,,,,,,,,,0,6,3/21 20:30,3/22 14:44,2020-03-22T00:30:00Z,2020-03-22T18:44:00Z
